city;state_id;state_name;county_name;lat;lon;latlon
New York;NY;New York;Queens;40.6943;-73.9249;40.69,-73.92
Los Angeles;CA;California;Los Angeles;34.1141;-118.4068;34.11,-118.41
Chicago;IL;Illinois;Cook;41.8375;-87.6866;41.84,-87.69
Miami;FL;Florida;Miami-Dade;25.784;-80.2101;25.78,-80.21
Dallas;TX;Texas;Dallas;32.7935;-96.7667;32.79,-96.77
Houston;TX;Texas;Harris;29.786;-95.3885;29.79,-95.39
Philadelphia;PA;Pennsylvania;Philadelphia;40.0077;-75.1339;40.01,-75.13
Atlanta;GA;Georgia;Fulton;33.7628;-84.422;33.76,-84.42
Washington;DC;District of Columbia;District of Columbia;38.9047;-77.0163;38.9,-77.02
Boston;MA;Massachusetts;Suffolk;42.3188;-71.0852;42.32,-71.09
Phoenix;AZ;Arizona;Maricopa;33.5722;-112.0892;33.57,-112.09
Detroit;MI;Michigan;Wayne;42.3834;-83.1024;42.38,-83.1
Seattle;WA;Washington;King;47.6211;-122.3244;47.62,-122.32
San Francisco;CA;California;San Francisco;37.7558;-122.4449;37.76,-122.44
San Diego;CA;California;San Diego;32.8313;-117.1222;32.83,-117.12
Minneapolis;MN;Minnesota;Hennepin;44.9635;-93.2678;44.96,-93.27
Brooklyn;NY;New York;Kings;40.6501;-73.9496;40.65,-73.95
Tampa;FL;Florida;Hillsborough;27.9945;-82.4447;27.99,-82.44
Denver;CO;Colorado;Denver;39.762;-104.8758;39.76,-104.88
Queens;NY;New York;Queens;40.7498;-73.7976;40.75,-73.8
Baltimore;MD;Maryland;Baltimore;39.3051;-76.6144;39.31,-76.61
Las Vegas;NV;Nevada;Clark;36.2333;-115.2654;36.23,-115.27
St. Louis;MO;Missouri;St. Louis;38.6359;-90.2451;38.64,-90.25
Portland;OR;Oregon;Multnomah;45.5371;-122.65;45.54,-122.65
Riverside;CA;California;Riverside;33.9381;-117.3949;33.94,-117.39
Orlando;FL;Florida;Orange;28.4773;-81.337;28.48,-81.34
Sacramento;CA;California;Sacramento;38.5677;-121.4685;38.57,-121.47
San Juan;PR;Puerto Rico;San Juan;18.3985;-66.061;18.4,-66.06
San Antonio;TX;Texas;Bexar;29.4632;-98.5238;29.46,-98.52
San Jose;CA;California;Santa Clara;37.3012;-121.848;37.3,-121.85
Pittsburgh;PA;Pennsylvania;Allegheny;40.4397;-79.9763;40.44,-79.98
Cincinnati;OH;Ohio;Hamilton;39.1413;-84.506;39.14,-84.51
Manhattan;NY;New York;New York;40.7834;-73.9662;40.78,-73.97
Cleveland;OH;Ohio;Cuyahoga;41.4764;-81.6805;41.48,-81.68
Indianapolis;IN;Indiana;Marion;39.7771;-86.1458;39.78,-86.15
Austin;TX;Texas;Travis;30.3005;-97.7522;30.3,-97.75
Kansas City;MO;Missouri;Jackson;39.1238;-94.5541;39.12,-94.55
Columbus;OH;Ohio;Franklin;39.9862;-82.9855;39.99,-82.99
Charlotte;NC;North Carolina;Mecklenburg;35.2083;-80.8303;35.21,-80.83
Virginia Beach;VA;Virginia;Virginia Beach;36.7335;-76.0435;36.73,-76.04
Bronx;NY;New York;Bronx;40.8501;-73.8662;40.85,-73.87
Milwaukee;WI;Wisconsin;Milwaukee;43.0642;-87.9675;43.06,-87.97
Providence;RI;Rhode Island;Providence;41.823;-71.4187;41.82,-71.42
Jacksonville;FL;Florida;Duval;30.3322;-81.6749;30.33,-81.67
Salt Lake City;UT;Utah;Salt Lake;40.7776;-111.9311;40.78,-111.93
Nashville;TN;Tennessee;Davidson;36.1715;-86.7842;36.17,-86.78
Raleigh;NC;North Carolina;Wake;35.8324;-78.6429;35.83,-78.64
Memphis;TN;Tennessee;Shelby;35.1087;-89.9663;35.11,-89.97
Louisville;KY;Kentucky;Jefferson;38.1663;-85.6485;38.17,-85.65
Richmond;VA;Virginia;Richmond;37.5295;-77.4756;37.53,-77.48
Buffalo;NY;New York;Erie;42.9018;-78.8487;42.9,-78.85
Oklahoma City;OK;Oklahoma;Oklahoma;35.4676;-97.5136;35.47,-97.51
Bridgeport;CT;Connecticut;Fairfield;41.1918;-73.1954;41.19,-73.2
New Orleans;LA;Louisiana;Orleans;30.0687;-89.9288;30.07,-89.93
Fort Worth;TX;Texas;Tarrant;32.7817;-97.3474;32.78,-97.35
Hartford;CT;Connecticut;Hartford;41.7661;-72.6834;41.77,-72.68
Tucson;AZ;Arizona;Pima;32.1541;-110.8787;32.15,-110.88
Honolulu;HI;Hawaii;Honolulu;21.3294;-157.846;21.33,-157.85
McAllen;TX;Texas;Hidalgo;26.2252;-98.2467;26.23,-98.25
Omaha;NE;Nebraska;Douglas;41.2627;-96.0529;41.26,-96.05
El Paso;TX;Texas;El Paso;31.8476;-106.43;31.85,-106.43
Albuquerque;NM;New Mexico;Bernalillo;35.1054;-106.6465;35.11,-106.65
Rochester;NY;New York;Monroe;43.168;-77.6162;43.17,-77.62
Sarasota;FL;Florida;Sarasota;27.3387;-82.5432;27.34,-82.54
Fresno;CA;California;Fresno;36.783;-119.7939;36.78,-119.79
Tulsa;OK;Oklahoma;Tulsa;36.1283;-95.9042;36.13,-95.9
Allentown;PA;Pennsylvania;Lehigh;40.5961;-75.4756;40.6,-75.48
Dayton;OH;Ohio;Montgomery;39.7805;-84.2003;39.78,-84.2
Birmingham;AL;Alabama;Jefferson;33.5279;-86.7971;33.53,-86.8
Charleston;SC;South Carolina;Charleston;32.8168;-79.9687;32.82,-79.97
Cape Coral;FL;Florida;Lee;26.6443;-81.9957;26.64,-82
Columbia;SC;South Carolina;Richland;34.0378;-80.9036;34.04,-80.9
Concord;CA;California;Contra Costa;37.9722;-122.0016;37.97,-122
Colorado Springs;CO;Colorado;El Paso;38.8674;-104.7605;38.87,-104.76
Springfield;MA;Massachusetts;Hampden;42.1155;-72.5395;42.12,-72.54
Knoxville;TN;Tennessee;Knox;35.9692;-83.9496;35.97,-83.95
Baton Rouge;LA;Louisiana;East Baton Rouge;30.442;-91.1311;30.44,-91.13
Ogden;UT;Utah;Weber;41.2279;-111.9682;41.23,-111.97
Grand Rapids;MI;Michigan;Kent;42.9619;-85.6562;42.96,-85.66
Albany;NY;New York;Albany;42.6664;-73.7987;42.67,-73.8
Bakersfield;CA;California;Kern;35.3529;-119.0359;35.35,-119.04
Mission Viejo;CA;California;Orange;33.6096;-117.6551;33.61,-117.66
New Haven;CT;Connecticut;New Haven;41.3113;-72.9246;41.31,-72.92
